R0,SH0,T0,,R1,SH1,T1,,R2,SH2,T2,,
5.74E+12,5.88E+11,1500,,4.47E+12,4.09E+11,1500,1470,2.60E+12,1.93E+11,1500,,1453.8447
5.87E+12,5.15E+11,775.632,,4.61E+12,3.85E+11,850.1150893,833.1127876,2.74E+12,2.33E+11,1452.31,,849.1150893
6.01E+12,5.30E+11,766.627,,4.75E+12,3.99E+11,836.3735944,819.6461225,2.89E+12,2.48E+11,1414.43,,836.3735944
6.15E+12,5.45E+11,757.929,,4.89E+12,4.13E+11,824.1894066,807.7056184,3.03E+12,2.63E+11,1379.47,,824.1894066
6.29E+12,5.59E+11,749.52,,5.03E+12,4.28E+11,812.5218182,796.2713819,3.18E+12,2.78E+11,1347.07,,812.5218182
6.43E+12,5.74E+11,741.385,,5.17E+12,4.42E+11,801.3369064,785.3101682,3.32E+12,2.93E+11,1316.94,,801.3369064
6.57E+12,5.89E+11,733.509,,5.31E+12,4.57E+11,790.6007479,774.7887329,3.47E+12,3.08E+11,1288.82,,790.6007479
6.70E+12,6.04E+11,725.879,,5.45E+12,4.71E+11,780.2852351,764.6795304,3.61E+12,3.24E+11,1262.5,,780.2852351
6.84E+12,6.19E+11,718.482,,5.60E+12,4.86E+11,770.3632296,754.955965,3.76E+12,3.40E+11,1237.79,,770.3632296
6.98E+12,6.34E+11,711.306,,5.74E+12,5.01E+11,760.8105007,745.5942907,3.90E+12,3.56E+11,1214.54,,760.8105007
7.12E+12,6.49E+11,704.342,,5.88E+12,5.16E+11,751.6047561,736.572661,4.05E+12,3.71E+11,1192.61,,751.6047561
7.26E+12,6.65E+11,697.578,,6.02E+12,5.31E+11,742.7246727,727.8701792,4.19E+12,3.88E+11,1171.88,,742.7246727
7.40E+12,6.80E+11,691.005,,6.16E+12,5.45E+11,734.1528043,719.4697482,4.34E+12,4.04E+11,1152.24,,734.1528043
7.54E+12,6.95E+11,684.615,,6.30E+12,5.61E+11,725.8697664,711.3523711,4.48E+12,4.20E+11,1133.6,,725.8697664
7.67E+12,7.11E+11,678.399,,6.44E+12,5.76E+11,717.8619898,703.50475,4.63E+12,4.37E+11,1115.87,,717.8619898
7.81E+12,7.26E+11,672.349,,6.58E+12,5.91E+11,710.1129976,695.9107376,4.77E+12,4.53E+11,1098.99,,710.1129976
7.95E+12,7.42E+11,666.458,,6.72E+12,6.06E+11,702.6101897,688.5579859,4.91E+12,4.70E+11,1082.89,,702.6101897
8.09E+12,7.57E+11,660.719,,6.86E+12,6.21E+11,695.339997,681.433197,5.06E+12,4.86E+11,1067.51,,695.339997
8.23E+12,7.73E+11,655.126,,7.00E+12,6.37E+11,688.2907886,674.5249729,5.20E+12,5.03E+11,1052.8,,688.2907886
8.37E+12,7.88E+11,649.673,,7.15E+12,6.52E+11,681.4519032,667.8228651,5.35E+12,5.20E+11,1038.71,,681.4519032
8.50E+12,8.04E+11,644.353,,7.29E+12,6.68E+11,674.812679,661.3164255,5.49E+12,5.37E+11,1025.2,,674.812679
8.64E+12,8.20E+11,639.163,,7.43E+12,6.83E+11,668.3643932,654.9971053,5.64E+12,5.55E+11,1012.22,,668.3643932
