R,Ti
0.5,1500
0.51,1475
0.52,1450
0.539219056,1416.135785
0.539122527,1401.437058
0.538929523,1372.039604
0.547487451,1379.388967
0.547389443,1364.69024
0.547315948,1353.666195
0.555832877,1335.292786
0.555733374,1320.594059
0.55563389,1305.895332
0.555559288,1294.871287
0.555385256,1269.148515
0.555285834,1254.449788
0.564204494,1276.497878
0.564103493,1261.799151
0.563851069,1225.052334
0.563750131,1210.353607
0.572804739,1232.401697
0.572702199,1217.70297
0.572497172,1188.305516
0.581588139,1195.65488
0.581484026,1180.956153
0.581405953,1169.932107
0.581171798,1136.859972
0.581093768,1125.835926
0.590453366,1151.558699
0.590347666,1136.859972
0.590004271,1089.089109
0.599507389,1114.811881
0.599400068,1100.113154
0.59931959,1089.089109
0.59913185,1063.366337
0.599051408,1052.342291
0.608645762,1070.7157
0.608536805,1056.016973
0.60831895,1026.619519
0.608237274,1015.595474
0.617978748,1033.968883
0.617895775,1022.944837
0.617646925,989.8727016
0.617563997,978.8486563
0.627511016,1004.571429
0.627398682,989.8727016
0.627174074,960.4752475
0.627061801,945.7765205
0.637076251,960.4752475
0.636990715,949.4512023
0.636848179,931.0777935
0.636734174,916.3790665
0.636648683,905.3550212
0.646903097,931.0777935
0.646816241,920.0537482
0.646613622,894.330976
0.646497868,879.6322489
0.65688152,901.6803395
0.656793324,890.6562942
0.656646358,872.2828854
0.656528808,857.5841584
0.65644066,846.5601132
0.66701386,872.2828854
0.666894454,857.5841584
0.66677507,842.8854314
0.666655707,828.1867044
0.666566199,817.1626591
0.677241863,835.5360679
0.677150934,824.5120226
0.676938813,798.7892504
0.676847924,787.7652051
0.687749821,813.4879774
0.687626704,798.7892504
0.687380535,769.3917963
0.698295791,776.7411598
0.698170785,762.0424328
0.698045802,747.3437058
0.697952079,736.3196605
0.709130417,754.6930693
0.709003472,739.9943423
0.708813097,717.9462518
0.708717929,706.9222065
0.720068692,725.2956153
0.719972012,714.27157
0.719746477,688.5487977
0.731175688,695.8981612
0.730913928,666.5007072
0.742520473,673.8500707
0.742254652,644.4526167
0.754041281,651.8019802
0.75394004,640.7779349
0.753771336,622.4045262
0.765740844,629.7538897
0.76546671,600.3564356
0.777621936,607.7057992
0.777343548,578.3083451
0.789687372,585.6577086
0.789404665,556.2602546
0.801940013,563.6096181
0.801724683,541.5615276
0.814382764,541.5615276
0.814236977,526.8628006
0.814127654,515.8387553
0.827092608,526.8628006
0.826981559,515.8387553
0.826796511,497.4653465
0.839925622,504.81471
0.839700093,482.7666195
0.853034107,490.115983
0.852805058,468.0678925
0.866347172,475.417256
0.866075784,449.6944837
0.879789252,453.3691655
0.879592387,434.9957567
0.893519878,438.6704385
0.89331994,420.2970297
0.907464793,423.9717115
0.907261736,405.5983027
0.921627343,409.2729844
0.921421116,390.8995757
0.936010924,394.5742574
0.935801479,376.2008487
0.950661534,383.5502122
0.950406271,361.5021216
0.965498243,368.8514851
0.9652822,350.4780764
0.980566505,354.1527581
0.980390969,339.4540311
0.995914507,343.1287129
0.995691657,324.7553041
1.011502738,332.1046676
1.011321664,317.4059406
1.027288979,317.4059406
1.027105079,302.7072136
1.043414989,310.0565771
1.043228202,295.3578501
1.059746707,299.0325318
1.059509574,280.6591231
1.076334051,288.0084866
1.076141371,273.3097595
1.093229953,280.6591231
1.110291688,265.960396
1.110092929,251.261669
1.127720644,258.6110325
1.127518765,243.9123055
1.145423194,251.261669
1.145218146,236.562942
1.163299495,236.562942
1.199893421,207.165488
1.218947123,214.5148515
1.218728913,199.8161245
1.238081713,207.165488
1.237860078,192.466761
1.257516671,199.8161245
1.277256712,192.466761
1.297248562,181.4427157
1.3176123,174.0933522
1.338475409,177.7680339
