R,h
0.5,0.036
0.539586215,0.035442664
0.548109668,0.035435342
0.556767759,0.03542802
0.565562616,0.035420698
0.574496399,0.03304106
0.583571302,0.033033738
0.592789555,0.033026416
0.602153422,0.033019094
0.611665203,0.033011772
0.621327235,0.03300445
0.631141891,0.032997128
0.641111582,0.032989806
0.651238757,0.030610168
0.661525904,0.030602846
0.671975549,0.030595524
0.68259026,0.030588202
0.693372644,0.03058088
0.704325349,0.030573558
0.715451066,0.030566236
0.726752528,0.030558914
0.738232511,0.028179276
0.749893835,0.028171954
0.761739365,0.028164632
0.77377201,0.02815731
0.785994725,0.028149988
0.798410514,0.028142666
0.811022427,0.028135344
0.82383356,0.028128022
0.836847062,0.0281207
0.850066129,0.025741061
0.863494007,0.025733739
0.877133996,0.025726418
0.890989446,0.025719096
0.905063761,0.025711774
0.919360397,0.025704452
0.933882867,0.02569713
0.948634738,0.025689808
0.963619634,0.025682486
0.978841235,0.025675164
0.994303281,0.023295525
1.010009569,0.023288203
1.025963958,0.023280881
1.042170367,0.023273559
1.058632777,0.023266238
1.075355232,0.023258916
1.09234184,0.023251594
1.109596772,0.023244272
1.127124268,0.02323695
1.144928633,0.023229628
1.163014241,0.023222306
1.181385535,0.020842667
1.200047026,0.020835345
1.219003299,0.020828023
1.238259011,0.020820701
1.257818891,0.020813379
1.277687745,0.020806058
1.297870452,0.020798736
1.318371971,0.020791414
1.339197338,0.020784092
1.360351667,0.02077677
1.381840157,0.020769448
1.403668085,0.020762126
1.425840812,0.020754804
1.448363786,0.020747482
1.471242539,0.02074016
1.494482691,0.018360521
1.518089952,0.018353199
1.542070118,0.018345877
1.566429083,0.020710872
1.591172828,0.02070355
1.616307432,0.020696228
1.641839069,0.020688906
1.667774011,0.020681584
1.694118628,0.020674262
1.720879393,0.02066694
1.748062877,0.020659618
1.77567576,0.020652296
1.803724823,0.020644974
1.832216957,0.020637652
1.861159161,0.02063033
1.890558543,0.020623008
1.920422326,0.020615686
1.950757846,0.020608364
1.981572554,0.020601043
2.01287402,0.020593721
2.044669932,0.020586399
2.076968101,0.020579077
2.109776461,0.020571755
2.143103071,0.020564433
2.176956118,0.020557111
2.211343916,0.020549789
2.246274913,0.020542467
2.28175769,0.022907461
2.317800963,0.022900139
2.354413585,0.022892817
2.39160455,0.022885495
2.429382994,0.022878173
2.467758197,0.022870851
2.506739585,0.022863529
2.546336734,0.022856208
2.58655937,0.022848886
2.627417374,0.022841564
2.668920782,0.022834242
2.711079789,0.02282692
2.753904752,0.022819598
2.79740619,0.022812276
2.841594788,0.022804954
2.886481402,0.022797632
2.932077057,0.025162626
2.978392953,0.025155304
3.025440469,0.025147982
3.073231159,0.02514066
3.121776765,0.025133338
3.17108921,0.025126016
3.221180608,0.025118694
3.272063264,0.025111373
3.323749676,0.025104051
3.376252542,0.025096729
3.429584756,0.025089407
3.483759421,0.025082085
3.538789844,0.027447079
3.594689543,0.027439757
3.651472249,0.027432435
3.70915191,0.027425113
3.767742695,0.027417791
3.827258996,0.027410469
3.887715433,0.027403147
3.949126856,0.027395825
4.011508351,0.027388503
4.074875242,0.027381181
4.139243093,0.029746176
4.204627716,0.029738854
4.271045173,0.029731532
4.338511779,0.02972421
4.407044106,0.029716888
4.476658988,0.029709566
4.547373526,0.029702244
4.61920509,0.032067239
4.692171325,0.032059917
4.766290156,0.032052595
4.841579787,0.032045273
4.918058715,0.032037951
4.995745724,0.032030629
5.074659899,0.032023307
5.154820624,0.032015985
5.23624759,0.034380979
5.318960799,0.034373657
5.402980568,0.034366335
5.488327537,0.034359013
5.575022669,0.034351691
5.663087263,0.03434437
5.752542948,0.036709364
5.8434117,0.036702042
5.935715841,0.03669472
6.029478042,0.036687398
6.124721338,0.036680076
6.221469122,0.036672754
6.319745161,0.039037749
6.419573596,0.03665811
6.728620436,0.039008461
6.834907577,0.039001139
6.942873659,0.038993817
7.052545203,0.038986495
7.163949148,0.038979173
7.277112862,0.041344167
7.39206414,0.041336845
7.508831221,0.041329523
7.627442786,0.043694518
7.747927972,0.043687196
7.870316376,0.043679874
7.99463806,0.043672552
8.120923564,0.04366523
8.249203909,0.043657908
8.379510605,0.043650586
8.511875662,0.043643264
8.646331593,0.043635942
8.782911428,0.04362862
8.921648715,0.043621298
9.062577535,0.043613976
9.205732505,0.043606654
9.35114879,0.045971649
9.498862111,0.045964327
9.648908752,0.045957005
9.801325571,0.045949683
9.956150009,0.045942361
10.1134201,0.045935039
10.27317446,0.045927717
10.43545236,0.045920395
10.60029364,0.045913073
10.76773879,0.045905751
10.93782896,0.045898429
11.11060592,0.045891107
11.28611211,0.048256102
11.46439064,0.04824878
11.64548531,0.048241458
11.8294406,0.048234136
12.01630171,0.048226814
12.20611452,0.048219492
12.39892566,0.04821217
12.5947825,0.048204848
12.79373316,0.048197526
12.99582649,0.048190204
13.20111214,0.048182882
13.40964054,0.04817556
13.62146292,0.050540555
13.8366313,0.050533233
14.05519853,0.050525911
14.27721832,0.050518589
14.50274519,0.050511267
14.73183455,0.050503945
14.96454266,0.050496623
15.2009267,0.050489301
15.44104472,0.050481979
15.68495572,0.050474657
15.9327196,0.050467335
16.18439722,0.052832329
16.44005042,0.052825007
16.69974198,0.052817686
16.9635357,0.052810364
17.23149638,0.052803042
17.50368984,0.05279572
17.78018295,0.052788398
18.06104361,0.052781076
18.34634083,0.052773754
18.63614468,0.052766432
18.93052635,0.05275911
19.22955816,0.055124104
19.53331356,0.055116782
19.84186716,0.05510946
20.15529475,0.055102138
20.47367334,0.055094816
20.79708112,0.055087494
21.12559754,0.055080172
21.45930329,0.055072851
21.79828036,0.055065529
22.14261199,0.055058207
22.49238279,0.057423201
22.84767866,0.057415879
23.20858688,0.057408557
23.57519611,0.057401235
23.9475964,0.057393913
24.32587923,0.057386591
24.71013751,0.057379269
25.10046565,0.057371947
25.49695952,0.057364625
25.89971651,0.057357303
26.30883556,0.059722298
26.72441717,0.059714976
27.14656343,0.059707654
27.57537802,0.059700332
28.01096628,0.05969301
28.45343521,0.059685688
28.90289351,0.059678366
29.35945158,0.059671044
29.82322156,0.059663722
30.29431738,0.0596564
30.77285475,0.062021395
31.25895124,0.062014073
31.75272624,0.062006751
32.25430105,0.061999429
32.76379887,0.061992107
33.28134485,0.061984785
33.80706614,0.061977463
34.34109187,0.061970141
34.88355321,0.061962819
35.43458342,0.064327813
35.99431786,0.064320491
36.56289401,0.064313169
37.14045155,0.064305848
37.72713235,0.064298526
38.32308052,0.064291204
38.92844245,0.064283882
39.54336685,0.06427656
40.16800476,0.064269238
40.80250962,0.066634232
41.4470373,0.06662691
42.10174611,0.066619588
42.76679689,0.066612266
43.44235298,0.066604944
44.12858035,0.066597622
44.82564756,0.0665903
45.53372583,0.066582978
46.2529891,0.068947973
46.98361405,0.068940651
47.72578015,0.068933329
48.47966972,0.068926007
49.24546793,0.068918685
50.0233629,0.068911363
50.81354571,0.068904041
51.61621047,0.071269036
52.43155434,0.071261714
53.25977761,0.071254392
54.10108372,0.07124707
54.95567934,0.071239748
55.82377438,0.071232426
56.70558209,0.071225104
57.60131908,0.073590098
58.51120537,0.073582776
59.43546448,0.073575454
60.37432345,0.073568132
61.32801288,0.07356081
62.29676706,0.073553488
63.28082394,0.073546166
64.28042526,0.075911161
65.29581656,0.075903839
66.32724726,0.075896517
67.37497072,0.075889195
68.4392443,0.075881873
69.52032945,0.075874551
70.61849172,0.078239546
71.73400086,0.078232224
72.86713088,0.078224902
74.01816015,0.07821758
75.18737138,0.078210258
76.3750518,0.080575252
77.58149315,0.08056793
78.80699178,0.080560608
80.05184872,0.080553286
81.31636976,0.080545964
82.60086553,0.080538642
83.90565154,0.082903637
85.23104832,0.082896315
86.57738142,0.082888993
87.94498158,0.082881671
89.33418472,0.082874349
90.7453321,0.085239344
92.17877035,0.085232022
93.63485159,0.0852247
95.11393348,0.085217378
96.61637936,0.085210056
98.14255829,0.08757505
99.69284517,0.087567728
